"","logFC","logCPM","LR","PValue","symbol"
"ENSG00000000003.14",-0.392772648366017,4.74718768482844,49.7956404354428,1.7062265771242e-12,"TSPAN6"
"ENSG00000000419.12",0.353117167621869,5.15285106698237,72.0201014776815,2.13016347705565e-17,"DPM1"
"ENSG00000000457.14",-0.0755942483369923,4.12861538643907,6.13920515359951,0.0132216732400499,"SCYL3"
"ENSG00000000460.17",0.396392473496073,2.53129023538744,70.6602733240721,4.2435215617669e-17,"C1orf112"
"ENSG00000000971.15",-0.531099913234643,8.01133176517887,24.7629316894956,6.48323619574954e-07,"CFH"
"ENSG00000001036.13",-0.224225383557772,4.93956903339709,18.7612759278068,1.48144816917854e-05,"FUCA2"
"ENSG00000001084.13",0.075156195042139,5.59087345227741,4.12457747516311,0.0422645736306818,"GCLC"
"ENSG00000001167.14",0.102470857562182,4.70440367395018,5.11573870681207,0.0237097701473125,"NFYA"
"ENSG00000001460.18",0.15273128019902,3.16395341300849,15.4760071807235,8.35592023045855e-05,"STPG1"
"ENSG00000001461.17",-0.375005284754648,5.65000975508383,131.204434245322,2.23375567390525e-30,"NIPAL3"
"ENSG00000001497.16",0.116448394300382,5.58065593019604,11.2368876414445,0.00080187509765763,"LAS1L"
"ENSG00000001561.7",-0.822119475536398,3.60717596647616,86.7081874094187,1.25775039658977e-20,"ENPP4"
"ENSG00000001617.12",0.0400801778730824,6.79359157793716,0.341542068436979,0.558940460403859,"SEMA3F"
"ENSG00000001626.15",-1.07164392071018,3.02478314100994,83.3355339365805,6.92436713125781e-20,"CFTR"
"ENSG00000001629.10",-0.167411802252824,6.01151905143378,27.9065796627382,1.27316092980352e-07,"ANKIB1"
"ENSG00000001631.15",-0.0583189260988146,2.78859926441816,2.07388285655838,0.14983961525944,"KRIT1"
"ENSG00000002016.17",-0.369341649310656,2.82886083810773,39.3935597969447,3.46437685861233e-10,"RAD52"
"ENSG00000002549.12",0.763907250690786,6.87767484835289,296.931659772995,1.53557362704407e-66,"LAP3"
"ENSG00000002586.20",-0.572256026144629,8.01527103613027,94.3694091739713,2.61807164099482e-22,"CD99"
"ENSG00000002587.10",0.659031731863558,1.77211614915324,60.1325716968297,8.86786422002015e-15,"HS3ST1"
"ENSG00000002745.13",0.0826017341816367,5.31235909886571,0.660979728318523,0.416214275302864,"WNT16"
"ENSG00000002834.18",-0.223385070831693,7.22014939611885,28.6971883851691,8.46265084901795e-08,"LASP1"
"ENSG00000002919.14",0.277867454818854,4.47739284332136,60.0512050672536,9.24213995575545e-15,"SNX11"
"ENSG00000002933.9",0.221259830045538,4.39770630323381,5.40722665467649,0.0200535510651202,"TMEM176A"
