HGNC.ID	Approved.Symbol	Entrez.Gene.ID
11858	TSPAN6	7105
3005	DPM1	8813
19285	SCYL3	57147
25565	C1orf112	55732
4883	CFH	3075
4008	FUCA2	2519
4311	GCLC	2729
7804	NFYA	4800
28070	STPG1	90529
25233	NIPAL3	57185
25726	LAS1L	81887
3359	ENPP4	22875
10728	SEMA3F	6405
1884	CFTR	1080
22215	ANKIB1	54467
1573	KRIT1	889
9824	RAD52	5893
18449	LAP3	51056
7082	CD99	4267
5194	HS3ST1	9957
16267	WNT16	51384
6513	LASP1	3927
14975	SNX11	29916
24930	TMEM176A	55365
6752	M6PR	4074
22931	KLHL13	90293
20581	CYP26B1	56603
5343	ICA1	3382
443	ALS2	57679
1500	CASP10	843
1876	CFLAR	8837
11760	TFPI	7035
28816	NDUFAF7	55471
9902	RBM5	10181
7454	MTMR7	9108
11060	SLC7A2	6542
17074	SARM1	23098
23781	POLDIP2	26073
9107	PLXND1	23129
362	AK2	204
3720	FKBP4	2288
29079	KDM1A	23028
9903	RBM6	10180
1469	CAMKK1	84254
9948	RECQL	5965
25956	VPS50	55610
7694	NDUFAB1	4706
8812	PDK4	5166
10983	SLC25A13	10165
11351	ST7	93655
1728	CDC27	996
4837	HCCS	3052
3086	DVL2	1856
9962	UPF1	5976
15687	SKAP2	8935
10991	SLC25A5	292
26076	MCUB	55013
9197	POLR2J	5439
16718	DHX33	56919
7013	MEOX1	4222
22207	THSD7A	221981
6600	LIG3	3980
26151	RPAP3	79657
24661	REXO5	81691
28050	CIAPIN1	57019
30627	SPPL2B	56928
25666	FAM214B	80256
19356	COPZ2	51226
9392	PRKAR2B	5577
7370	MSL3	10943
2348	CREBBP	1387
1317	GCFC2	6936
25770	WDR54	84058
2366	CROT	54677
45	ABCB4	5244
18541	KMT2E	55904
23082	RHBDD2	57414
17853	IBTK	25998
12986	ZNF195	7748
23386	MYCBP2	23077
13599	FBXL3	26224
6148	ITGAL	3683
8810	PDK2	5164
6139	ITGA3	3675
12869	ZFX	7543
6501	LAMP2	3920
29644	GDE1	51573
26098	REX1BD	55049
24529	TMEM98	26022
6853	MAP3K14	9020
563	AP2B1	163
13056	ZNF263	10127
10647	CX3CL1	6376
26125	SPATA20	64847
6861	MAP3K9	4293
9839	RALA	5898
21649	BAIAP2L1	55971
22224	KDM7A	80853
3490	ETV1	2115
21869	AGK	55750
410	ALDH3B1	221
26067	TTC22	55001
13411	PHTF2	57157
16460	FARP2	9855
21705	GGCT	79017
17364	DBF4	10926
5456	IFRD1	3475
2260	COX10	1352
4661	GTF2IRD1	9569
25459	PAF1	54623
12713	VPS41	27072
29096	ARHGAP44	9912
14198	ELAC2	60528
21695	SCIN	85477
717	ARSD	414
24887	PNPLA4	8228
24041	ADIPOR2	79602
13538	MARK4	57787
9454	PROM1	8842
8574	PAFAH1B1	5048
7873	NOS2	4843
28960	KIAA0100	9703
4169	GAS7	8522
23069	TRAPPC6A	79090
1819	CEACAM7	1087
18441	ST7L	54879
20561	RHBDF1	64285
6723	LUC7L	55692
14122	CRAMP1	57585
11716	TEAD3	7005
10718	SELE	6401
25570	DNAJC11	55735
3771	FMO3	2328
21155	MYLIP	29116
3114	E2F2	1870
9537	PSMB1	5689
6196	JARID2	3720
11411	CDKL5	6792
29831	NADK	65220
11743	TFAP2B	7021
9504	CYTH3	9265
201	ADAM22	53616
11507	SYPL1	6856
2571	CYB561	1534
14524	SPAG9	9043
3230	CELSR3	1951
17366	AASS	10157
25562	PLEKHG6	55200
15593	SS18L2	51188
7061	MGST1	4257
2384	CRY1	1407
7788	NFIX	4784
10862	ST3GAL1	6482
16830	IL32	9235
9008	PKD1	5310
22963	MED24	9862
18756	RHOBTB2	23221
29273	HEATR5B	54497
11846	SEC62	7095
10405	RPS20	6224
29905	CSDE1	7812
16803	UBE3C	9690
9968	REV3L	5980
28530	FAM76A	199870
30766	TRAF3IP3	80342
19743	POMT2	29954
20954	VTA1	51534
961	BAZ1B	9031
13727	RANBP9	10048
18160	ETV7	51513
25356	SPRTN	83932
24248	METTL13	51603
3095	DYRK4	8798
12998	ZNF207	7756
12585	UQCRC1	7384
19169	STARD3NL	83930
1709	CD9	928
24305	NCAPD2	9918
24970	IFFO1	25900
18458	PHF7	51533
30400	SEMA3G	56920
18006	NISCH	11188
18628	STAB1	23166
5389	IDS	3423
9486	PRSS3	5646
12993	ZNF200	7752
1678	CD4	920
19138	LRRC23	10233
1133	BTK	695
4886	HFE	3077
19003	SCMH1	22955
4037	FYN	2534
4921	HIVEP2	3097
3769	FMO1	2326
11620	ELOA	6924
6738	LYPLA2	11313
2024	CLCN6	1185
16875	MRC2	9902
21640	TSPAN9	10867
18269	BTBD7	55727
7121	MKS1	54903
21396	ABHD5	51099
6211	ANOS1	3730
29857	AKAP8L	26993
19866	MBTD1	54799
24274	UTP18	51096
21698	RNF216	54476
26006	TTC19	54902
9583	PTBP1	5725
11514	SYT7	9066
17095	LARS2	23395
8971	PIK3C2A	5286
9053	PLAUR	5329
14082	ANLN	54443
30917	WIZ	58525
17155	RABGAP1	23637
2705	DCN	1634
9322	PPP5C	5536
29076	CEP68	23177
6865	MAP4K3	8491
12449	TYROBP	7305
30136	LDAF1	57146
1100	BRCA1	672
3433	ERCC1	2067
10724	SEMA3B	7869
15455	MBTPS2	51360
6645	PRICKLE3	4007
6720	LTF	4057
3518	EXTL3	2137
21308	ELOVL5	60481
435	ALOX5	240
11115	KDM5D	8284
29306	CALCOCO1	57658
20344	UBR7	55148
