"Immune_cells" "Inflammation" "Neutrophils" "Proliferation" "Th1" "Th17" "Patient" "Perturbation" "Apoptosis"
"1" 1 1 1 0.011 1 0.012 "GSM1315674" "IL17R_OFF" 0
"2" 1 1 1 0.847 1 0.844 "GSM1315674" "IL22R_OFF" 0
"3" 1 1 1 0.837 1 0.836 "GSM1315674" "IL1R1_OFF" 0.002
"4" 1 1 1 0.839 1 0.84 "GSM1315674" "IFNGR_OFF" 0
"5" 1 1 1 0.839 1 0.838 "GSM1315674" "IFNAR_OFF" 0.002
"6" 1 1 1 0 1 0 "GSM1315674" "TNFRSF1A_OFF" 0
"7" 1 1 1 0.846 1 0.843 "GSM1315674" "IL6R_OFF" 0.001
"8" 1 1 1 0.839 1 0.838 "GSM1315674" "IL36R_OFF" 0.002
"9" 1 1 1 0 0.963 0 "GSM1315744" "IL17R_OFF" 0
"10" 1 1 1 0.969 0.966 0.965 "GSM1315744" "IL22R_OFF" 0
"11" 1 1 1 0.969 0.948 0.963 "GSM1315744" "IL1R1_OFF" 0
"12" 1 1 1 0.966 0.953 0.96 "GSM1315744" "IFNGR_OFF" 0
"13" 1 1 1 0.962 0.956 0.957 "GSM1315744" "IFNAR_OFF" 0
"14" 1 1 1 0 0.955 0 "GSM1315744" "TNFRSF1A_OFF" 0
"15" 1 1 1 0.964 0.964 0.962 "GSM1315744" "IL6R_OFF" 0
"16" 1 1 1 0.962 0.956 0.957 "GSM1315744" "IL36R_OFF" 0
"17" 1 1 1 0 1 0 "GSM1162982" "IL17R_OFF" 0
"18" 1 1 1 0.683 1 0.675667 "GSM1162982" "IL22R_OFF" 0
"19" 1 1 1 0.657 1 0.646 "GSM1162982" "IL1R1_OFF" 0
"20" 1 1 1 0.667 1 0.657 "GSM1162982" "IFNGR_OFF" 0
"21" 1 1 1 0.662 1 0.65 "GSM1162982" "IFNAR_OFF" 0
"22" 1 1 1 0 1 0 "GSM1162982" "TNFRSF1A_OFF" 0
"23" 1 1 1 0.663 1 0.661 "GSM1162982" "IL6R_OFF" 0
"24" 1 1 1 0.662 1 0.65 "GSM1162982" "IL36R_OFF" 0
"25" 1 1 1 0 0.996 0 "GSM1315687" "IL17R_OFF" 0
"26" 1 1 1 1 0.998 1 "GSM1315687" "IL22R_OFF" 0
"27" 1 1 1 0.999 1 0.999 "GSM1315687" "IL1R1_OFF" 0
"28" 1 1 1 1 0.997 1 "GSM1315687" "IFNGR_OFF" 0
"29" 1 1 1 1 1 1 "GSM1315687" "IFNAR_OFF" 0
"30" 1 1 1 0 0.998 0 "GSM1315687" "TNFRSF1A_OFF" 0
"31" 1 1 1 1 0.998 1 "GSM1315687" "IL6R_OFF" 0
"32" 1 1 1 1 1 1 "GSM1315687" "IL36R_OFF" 0
"33" 1 1 1 0.006 1 0.007 "GSM1162990" "IL17R_OFF" 0
"34" 1 1 1 0.777 1 0.782 "GSM1162990" "IL22R_OFF" 0
"35" 1 1 1 0.773 1 0.779 "GSM1162990" "IL1R1_OFF" 0
"36" 1 1 1 0.771 1 0.771 "GSM1162990" "IFNGR_OFF" 0
"37" 1 1 1 0.768 1 0.774 "GSM1162990" "IFNAR_OFF" 0
"38" 1 1 1 0 1 0 "GSM1162990" "TNFRSF1A_OFF" 0
"39" 1 1 1 0.764 1 0.763 "GSM1162990" "IL6R_OFF" 0
"40" 1 1 1 0.768 1 0.774 "GSM1162990" "IL36R_OFF" 0
"41" 1 1 1 0.179 0.997 0.101 "GSM1315672" "IL17R_OFF" 0.027
"42" 1 1 1 0.591 0.998 0.281 "GSM1315672" "IL22R_OFF" 0.024
"43" 1 1 1 0.597 0.996 0.28 "GSM1315672" "IL1R1_OFF" 0.031
"44" 1 1 0.999 0.589 0.986 0.275 "GSM1315672" "IFNGR_OFF" 0.013
"45" 1 1 1 0.598 0.996 0.28 "GSM1315672" "IFNAR_OFF" 0.03
"46" 1 1 1 0 0.998 0 "GSM1315672" "TNFRSF1A_OFF" 0.02
"47" 1 1 1 0.585 0.994 0.281 "GSM1315672" "IL6R_OFF" 0.026
"48" 1 1 1 0.598 0.996 0.28 "GSM1315672" "IL36R_OFF" 0.03
"49" 1 1 1 0 1 0 "GSM1315756" "IL17R_OFF" 0
"50" 1 1 1 0.875 1 0.879 "GSM1315756" "IL22R_OFF" 0
"51" 1 1 1 0.887 1 0.885 "GSM1315756" "IL1R1_OFF" 0
"52" 1 1 1 0.885 1 0.882 "GSM1315756" "IFNGR_OFF" 0
"53" 1 1 1 0.883 1 0.88 "GSM1315756" "IFNAR_OFF" 0
"54" 1 1 1 0 1 0 "GSM1315756" "TNFRSF1A_OFF" 0
"55" 1 1 1 0.911999 1 0.909 "GSM1315756" "IL6R_OFF" 0
"56" 1 1 1 0.883 1 0.88 "GSM1315756" "IL36R_OFF" 0
"57" 1 1 1 0.165 1 0.164 "GSM1315776" "IL17R_OFF" 0
"58" 1 1 1 0.568 1 0.565 "GSM1315776" "IL22R_OFF" 0
"59" 1 1 1 0.579428 1 0.583 "GSM1315776" "IL1R1_OFF" 0
"60" 1 1 1 0.559 1 0.559 "GSM1315776" "IFNGR_OFF" 0
"61" 1 1 1 0.573579 1 0.577 "GSM1315776" "IFNAR_OFF" 0
"62" 1 1 1 0 1 0 "GSM1315776" "TNFRSF1A_OFF" 0
"63" 1 1 1 0.591 1 0.587 "GSM1315776" "IL6R_OFF" 0
"64" 1 1 1 0.573579 1 0.577 "GSM1315776" "IL36R_OFF" 0
"65" 1 1 1 0 1 0 "GSM1315748" "IL17R_OFF" 0
"66" 1 1 1 0.821 1 0.431 "GSM1315748" "IL22R_OFF" 0
"67" 1 1 1 0.831 1 0.438 "GSM1315748" "IL1R1_OFF" 0
