Patient,Immune_cells,Inflammation,Neutrophils,Proliferation,Th1,Th17,Apoptosis,Differentiation
GSM1315674,1,1,1,0.84,1,0.84,,0
GSM1315744,1,1,1,0.97,0.957,0.964,,0
GSM1162982,1,1,1,0.664,1,0.658,,0
GSM1315687,1,1,1,1,0.999,1,,0
GSM1162990,1,1,1,0.775,1,0.779,,0
GSM1315672,1,1,1,0.611,0.995,0.309,0.024,0
GSM1315756,1,1,1,0.891,1,0.89,,0
GSM1315776,1,1,1,0.569,1,0.57,,0
GSM1315748,1,1,1,0.822,1,0.449,,0
GSM1162998,1,1,1,0.998,1,0.998,,0
GSM1315753,1,1,1,0.824,1,0.822,,0
GSM2211701,1,0.999,0.985,0.735,0.79,0.566,,0
GSM2211704,1,1,1,0.967,1,0.953,,0
GSM1315752,1,1,1,1,1,1,,0
GSM3293913,1,1,1,0.336,1,0.314,0.001,0
GSM1315640,1,1,1,0.787,1,0.792,0.262,0
GSM3293897,1,0.985,0.994,0.728,0.998,0.272,,0
GSM1656070,1,1,1,1,1,1,,0
GSM2882408,1,0.91,1,0.911,0.67,0.469,,0
GSM1315633,1,1,1,0.647,0.999,0.544,,0
GSM1315610,1,1,1,0.196,0.687,0.19,,0
GSM1930394,1,1,1,0.997,1,0.996,,0
GSM2211691,1,1,1,0.97,1,0.969,,0
GSM2211707,1,1,1,0.852,1,0.643,,0
GSM3293917,1,1,1,0.659,1,0.655,,0
GSM1656074,1,1,1,0.539,0.957,0.175,,0
GSM1656066,1,1,1,1,1,1,,0
GSM1315612,1,1,1,1,1,1,,0
GSM2211693,1,0.966,1,0.459,0.782,0.142,,0
GSM1930393,1,1,1,0.999,0.998,0.999,,0
GSM1930400,1,1,1,0.825,0.993,0.822,,0
GSM1315692,1,1,1,0.989,0.871,0.84,,0
GSM1163030,1,1,1,0.99,1,1,,0
GSM1315701,1,1,1,0.934,1,0.934,0.014,0
GSM3293912,1,1,0.993,0.745,1,0.728,,0
GSM1023439,1,1,1,0.774,1,0.746,,0
GSM1163022,1,1,1,0.982,1,0.981,,0
GSM1656078,1,1,1,0.718,1,0.718,,0
GSM2211698,1,0.999,1,0.909,1,0.893,,0
GSM2211711,1,1,1,1,1,1,,0
GSM1315670,1,1,1,0.994,1,0.969,,0
GSM1561616,1,1,1,0.155,1,0.157,0.369,0
GSM1315688,1,1,1,0.94,0.995,0.938,0.004,0
GSM1315789,1,1,1,0.615,1,0.618,,0
GSM3293920,1,1,1,0.692,1,0.686,0.004,0
GSM1315641,1,1,1,0.996,1,0.996,,0
GSM1315775,1,1,1,0.999,1,0.999,,0
GSM1656076,1,1,1,0.651229,0.763,0.559,,0
GSM1315700,1,1,1,0.907,1,0.905,,0
GSM3293910,1,1,1,0.925,1,0.924,,0
GSM1656054,1,1,1,1,1,1,,0
GSM1315673,1,1,1,0.995,1,0.994,,0
GSM1315609,1,1,1,0.249,1,0.249,,0
GSM3293918,1,1,1,0.349,0.911,0.269,,0
GSM1163006,1,1,1,1,1,1,,0
GSM2211706,1,1,1,1,1,1,,0
GSM1315638,1,1,1,0.976,1,0.976,,0
GSM1315627,1,1,1,0.336,1,0.326,0.284,0
GSM1315764,1,1,1,0.999,1,0.999,,0
GSM1561651,1,1,1,0.069,1,0.068,0.335,0
GSM1315617,1,1,1,0.538,1,0.541,0.242,0
GSM2211692,1,1,1,0.942,1,0.944,,0
GSM1315650,1,0.989,1,1,0.871,0.465,,0
GSM1315686,1,1,1,1,1,1,,0
GSM3293909,1,1,1,0.911,1,0.91,,0
GSM1315773,1,1,1,0.997,1,0.998,,0
GSM1315648,1,1,1,0.907,1,0.906,,0
GSM1315737,1,1,1,0.963,0.717,0.963,,0
GSM1315749,1,1,1,1,1,1,,0
GSM1561618,1,1,1,0.59,1,0.595,,0
GSM1315771,1,1,1,0.96,1,0.96,,0
GSM1315637,1,1,1,0.719,1,0.292,0.002,0
GSM1315747,1,1,1,1,1,1,,0
GSM1315634,1,1,1,0.99,0.952,0.991,,0
GSM1656060,1,1,1,0.999,1,0.999,,0
GSM2211694,1,0.939,1,0.432,0.871,0.105,,0
GSM1315766,1,1,1,0.977,1,0.977,,0
GSM1561641,1,1,1,0.496,1,0.495,0.086,0
GSM1656052,1,1,1,0.531008,1,0.229,0.004,0
GSM1315769,1,1,1,0.984,1,0.984,,0
GSM1315662,1,1,1,1,1,1,,0
GSM1315661,1,1,1,1,1,1,,0
GSM2882406,1,1,1,0.126,1,0.128,,0
GSM3293911,1,1,1,0.74,1,0.761,,0
GSM2211699,1,1,1,0.998,1,0.998,,0
GSM1315695,1,1,1,1,1,1,,0
GSM2211703,1,1,1,0.74,0.775,0.671899,,0
GSM2882404,1,0.946,1,0.822,0.69,0.401,,0
GSM1315763,1,1,1,1,1,1,,0
GSM1930399,1,1,1,0.987,1,0.987,,0
GSM3293898,1,0.908,0.994,0.391434,0.941,0.097,,0
GSM1315630,1,1,1,0.321,1,0.328,0.276,0
GSM1930397,1,0.888,0.829,0.141,0.519,0.019,0.048,0
GSM1930391,1,1,1,0.829,1,0.828,,0
GSM1315698,1,1,1,0.994,1,0.994,,0
GSM1656064,1,1,1,0.996,1,0.995,,0
GSM1315759,1,1,1,0.971,1,0.97,,0
GSM1315657,1,1,1,0.885,1,0.886,,0
GSM1315623,1,1,1,0.714,1,0.625,,0
GSM1023438,1,1,1,0.991,1,0.989,,0
GSM1315642,1,1,1,0.991,1,0.99,,0
GSM3293899,1,0.984,0.989,0.211,0.477,0.046,,0
GSM1315613,1,1,1,0.767,0.985,0.451,,0
GSM2211709,1,1,1,1,0.997,0.9,,0
GSM1315699,1,1,1,0.601034,1,0.602,,0
GSM1930395,1,1,1,0.999,1,0.999,,0
GSM1315755,1,1,1,1,1,1,,0
