Node	HGNC.symbols
TNFRSF1A	TNFRSF1A
TRAF6	TRAF6
TAK1	MAP3K7
IKBKB	IKBKB
NFKBIA	NFKBIA
NFKBIZ	NFKBIZ
IKBKG	IKBKG
NFKB	NFKB1, RELA
TNFAIP3	TNFAIP3
P38	MAPK14
ERK1_2	MAPK3, MAPK1
JNK	MAPK8
MNK1	MKNK1
PIK3R1	PIK3R1
PDPK1	PDPK1
AKT	AKT1, AKT2
PRKCA	PRKCA
AP1	FOS, JUN
CREB1	CREB1
PLCG1	PLCG1
PRKACA	PRKACA
RIPK1	RIPK1
TRADD	TRADD
TRAF2	TRAF2
FADD	FADD
CASP8	CASP8
CFLAR	CFLAR
IL8	CXCL8
IL6	IL6
BAD	BAD
BCL2	BCL2
CDKN1A	CDKN1A
CCND1	CCND1
IFNGR	IFNGR1, IFNGR2
STAT1	STAT1
IL36A	IL36A
IL17R	IL17RA
CEBP	CEBPA
IL19	IL19
IL22R	IL22RA1
STAT3	STAT3
SOCS3	SOCS3
SOCS1	SOCS1
SIRT1	SIRT1
AA	NA
cPLA2a	PLA2G4A
COX2	PTGS2
PGE2	NA
EP2	PTGER2
EP4	PTGER4
PGI2	NA
EGR1	EGR1
ALOX5	ALOX5
LTB4	NA
SP1	SP1
ALOX12	ALOX12
HETE12	NA
PPARD	PPARD
TRAF3IP2	TRAF3IP2
KRT1	KRT1
FLG	FLG
CALML5	CALML5
CXCL3	CXCL3
IFNG	IFNG
IL12	IL12B
TNFa	TNF
IL1B	IL1B
CCL2	CCL2
CCL5	CCL5
CCL20	CCL20
CXCL1	CXCL1
CXCL2	CXCL2
CXCL5	CXCL5
EGFR	EGFR
VDR	VDR
EP2_g	PTGER2
EP4_g	PTGER4
S100A7	S100A7
S100A8	S100A8
S100A9	S100A9
DEFB4A	DEFB4A
HBEGF	HBEGF
CSF3	CSF3
CCL7	CCL7
FOXO3	FOXO3
IL23	IL23A
EP1	PTGER1
EP3	PTGER3
IFNAR	IFNAR1
JAK1	JAK1
TYK2	TYK2
STAT2	STAT2
ISGF3	STAT1, STAT2, IRF9
IRF9	IRF9
ISG15	ISG15
IFI6	IFI6
IRF1	IRF1
OAS2	OAS2
OASL	OASL
MX1	MX1
RSAD2	RSAD2
NLRP3	PYCARD, CASP1
CXCL11	CXCL11
IL1R1	IL1R1
MYD88	MYD88
IL1RAP	IL1RAP
IRAK1	IRAK1
IRAK4	IRAK4
TOLLIP	TOLLIP
PELI1	PELI1
BIRC3	BIRC3
ICAM1	ICAM1
S100A12	S100A12
NOS2	NOS2
KRT6	KRT6A, KRT6B, KRT6C
IL36R	IL1RL2
DEFB3	DEFB103A
CCL3	CCL3
S100A7A	S100A7A
LCN2	LCN2
IL6ST	IL6ST
IL6R	IL6R
SHC1	SHC1
SRC	SRC
BRAF	BRAF
MEK1_2	MAP2K1, MAP2K2
TIMP1	TIMP1
MYC	MYC
IFNB	IFNB1
IL36G	IL36G
IFNA	IFNA1
IL15	IL15
SERPINB3_4	SERPINB3, SERPINB4
WIF1	WIF1
LOR	LORICRIN
